Subject,a_Cc_mean,v_Cc_mean,a_Ci_mean,v_Ci_mean,a_NCc_mean,v_NCc_mean,a_NCi_mean,v_NCi_mean,t_C_mean,t_NC_mean
16048,2.043444518,1.732317801,2.701031059,1.955915632,2.799349769,2.734598581,2.397028057,1.998679518,0.291098967,0.401818692
16050,1.192783273,3.417404524,1.792829362,3.208320483,1.480832886,3.786338182,1.382813044,2.143612016,0.245273089,0.267914235
16051,1.005284921,4.896075459,1.333776075,3.951236746,1.257179687,3.057926474,1.737083968,3.499276521,0.233655211,0.259014323
16052,1.804825049,3.283169264,1.800410106,3.25770707,1.712262972,3.587484114,2.436186652,3.393480986,0.219706599,0.265498088
16053,1.427812095,3.855500202,1.552935588,3.894774437,1.434788329,3.507232246,1.793490307,3.629196834,0.246710884,0.320006077
16054,1.140798914,3.848527991,1.528017021,3.482347961,1.24358583,3.278889325,1.183722518,2.49733829,0.195082433,0.225522411
16055,1.254880448,4.621135394,1.299225364,2.99842546,1.015178289,3.154669107,1.766865149,3.38487704,0.206585489,0.300250829
16058,1.245729745,4.023178499,1.395055717,2.785312793,2.012436196,4.472313112,1.497468211,3.276935392,0.214841678,0.249485497
16059,1.807729398,2.393283143,1.949681528,2.01555215,1.893551066,2.792662232,1.871541853,2.696709,0.278665644,0.36859403
16063,1.476236377,3.484992062,1.637484317,3.463075585,1.547852754,3.962633488,2.120402794,3.656419082,0.236034376,0.300959628
16064,2.432894341,3.970062098,1.89239228,2.744001809,1.919602791,3.534443408,2.377214553,3.41157267,0.344526802,0.415572185
16065,1.52765573,3.214951942,1.544885952,1.724172969,1.757853447,3.312391568,1.714662293,1.783654018,0.237651144,0.312649889
16066,1.308911792,3.262915902,1.887268056,3.581857595,1.387001498,4.286412748,2.098654492,3.542884261,0.254145933,0.30459158
27004,1.632096945,3.795004325,1.643005915,3.365965917,1.388506219,4.284477,1.366334899,2.320032263,0.218405626,0.26407254
27007,1.806779897,3.504337198,2.116584642,3.35905409,1.618618203,3.561228234,2.531835236,3.406978522,0.241561015,0.3230899
27008,1.202096772,3.306925801,1.318423351,2.180236213,1.472416675,3.936179441,2.450747455,3.546807255,0.263180799,0.262303976
27009,1.851364486,2.863627533,1.519948106,1.936767121,1.517719623,2.416379633,2.138536566,2.553757135,0.304752001,0.345176248
27010,1.83200743,2.865775279,1.769485145,1.724601775,1.915491003,2.846519263,2.395887416,2.799744724,0.336358605,0.325834441
27011,1.332418847,3.174788178,1.739249707,2.285528573,1.33319292,2.645346293,1.398190103,1.331803507,0.276547117,0.280610962
27012,1.151398224,3.225288337,1.030695515,2.346063506,1.207967128,2.542057438,1.080403577,1.235793909,0.238376604,0.256568748
27013,1.368579692,4.704344831,1.466318921,3.867490905,0.856709725,3.636298485,2.013381263,3.669489938,0.240168303,0.294406687
27014,1.452893649,3.419386037,1.533784706,1.865813078,1.410666345,3.199199293,1.305364007,2.863287351,0.19456667,0.256396106
27015,1.057843682,3.072959567,1.18349096,3.418249172,1.35409236,3.765118506,1.783443098,2.752358229,0.229527196,0.238567826
27017,0.974822926,3.361132661,1.384901196,3.604464477,0.884063119,3.017127865,1.160652837,2.460164031,0.222936452,0.257825262
27018,1.704076619,3.301151148,1.84991608,2.12804845,1.571514235,3.341592609,2.686420078,3.244777339,0.242519122,0.290874814
27019,1.79961422,3.503531223,1.835836896,2.289886211,1.910629185,3.444998139,2.419666487,3.29216885,0.28014167,0.284822513
27022,1.561421981,3.551001088,1.424595964,2.471198457,1.813078292,3.112184094,2.087689437,2.60258644,0.218529022,0.282863083
27023,1.358327235,3.782963784,1.591008699,2.740073929,1.595522046,3.62246844,2.090433671,2.87542092,0.317299065,0.328951493
27025,2.242306013,2.755457798,2.120466244,2.503568406,2.282318263,2.700784761,2.742478378,3.21975311,0.301828185,0.342407053
27026,1.676054216,2.987157833,1.849150111,3.116164246,1.716902923,3.372760504,2.281377353,3.503236401,0.230002038,0.292694527
27027,1.151359449,3.907628105,1.439471182,3.683163936,1.17314211,3.264694728,1.44093472,3.02349135,0.221251471,0.267595493
27028,1.127006597,2.87702629,1.076721346,1.911757487,1.222418374,2.97039923,1.402990349,1.52962204,0.212672493,0.241174341
27029,1.38833076,3.448297043,1.3450691,2.060840099,1.792025518,3.955782168,1.98415842,3.142631393,0.246601107,0.256479499
27030,1.711995579,3.01988264,2.2534461,3.061617601,2.13994178,2.818385827,2.383921973,2.497709155,0.501490277,0.4172005
27033,1.27831756,4.262078454,1.133647152,3.322969845,1.301716867,4.306719997,1.030558389,2.497451436,0.196525836,0.239915175
27034,1.373835102,3.461655736,1.466729958,3.412779205,1.622712326,3.810962228,1.968471899,3.37195226,0.231770988,0.247601872
27035,2.314122108,1.766275912,1.815022764,1.696994614,2.111286464,2.625821576,1.871175724,2.542425114,0.254361632,0.379624815
27036,1.563990618,3.924749074,1.662497928,2.784376705,1.190038504,2.855840347,2.067013847,3.573157723,0.269419729,0.316356351
27037,1.104338596,4.26581926,1.212645184,2.303424287,1.076688053,3.331606891,1.784909863,2.948250626,0.229803413,0.281958256
27038,1.289926517,3.532817637,1.587518119,3.282183203,1.499302334,4.041566686,2.049764429,3.516710278,0.292179319,0.310187985
27039,1.089055976,4.04477119,1.28247249,2.888480694,1.563317721,4.088264984,1.904620766,3.794937114,0.240168745,0.246917341
27040,1.806423525,2.131788497,1.845608017,1.340411317,2.034490508,2.651463011,2.447100077,2.750761756,0.23664156,0.297072133
27041,2.042844667,3.65935127,2.401067023,3.042768128,1.984346078,3.311363959,2.094046373,3.450341654,0.273416803,0.389905556